"id","name","description","unit","valueType","length","defaultValue","min","max","needReboot","category","writable","volatile","submodule"
20394,"BMS_WORK_MODE","Set working mode","-","uint32",4,"0","0","4294967295",0,"BMS",1,0,"DEFAULT"
20393,"AUDIO_THRESHOLD_CNT","Frequency of audio exceeding the threshold ","-","int16",2,"5","0","32767",0,"BP",0,0,"DEFAULT"
20392,"AUDIO_THRESHOLD","Audio recognition threshold ","-","int16",2,"-5","-60","0",0,"BP",0,0,"DEFAULT"
20391,"BMS_ERROR_CODE","Check the BMS error code","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20390,"Power_ERROR","Check the power for abnormalities","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20389,"VCPACK_ERROR","Check the Vcpack for abnormalities","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20388,"VPACK_ERROR","Check the Vpack for abnormalities","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20387,"NTC_ERROR","Check the NTC for abnormalities","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20386,"IIC_ERROR","Check the IIC for abnormalities","-","uint8",1,"0","0","255",0,"BMS",0,0,"DEFAULT"
20385,"BMS_ADVCHG_CURR","Expected charging curr","mA","int32",4,"0","0","2147483647",0,"BMS",0,0,"DEFAULT"
20384,"BMS_ADVCHG_VOLT","Expected charging voltage","mV","int32",4,"0","0","2147483647",0,"BMS",0,0,"DEFAULT"
20383,"STO_SETS_VER","Storage settings version","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
20382,"FITNESS_SYNC_OFFS","Last sync offset","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
20381,"FITNESS_SYNC_WORKOUT_SET_ID","Last sync workout set ID","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
20380,"FITNESS_SYNC_WORKOUT_ID","Last sync wokrout ID","-","uint32",4,"0","0","4294967295",0,"BP",0,0,"DEFAULT"
20379,"FITNESS_WORKOUT_ID","Current workout ID","-","uint32",4,"1","1","4294967295",0,"BP",0,0,"DEFAULT"
20378,"BMS_ChgNtcTempr","BMS_ChgNtcTempr","0.1C","int16",2,"0","-32768","32767",0,"BMS",0,0,"DEFAULT"
20377,"BMS_DsgNtcTempr2","BMS_DsgNtcTempr2","0.1C","int16",2,"0","-32768","32767",0,"BMS",0,0,"DEFAULT"
20376,"BMS_DsgNtcTempr1","BMS_DsgNtcTempr1","0.1C","int16",2,"0","-32768","32767",0,"BMS",0,0,"DEFAULT"
20375,"BMS_TS3Temperature","BMS_TS3Temperature","-","int16",2,"0","-32768","32767",0,"BMS",0,0,"DEFAULT"
20374,"BMS_TS1Temperature","BMS_TS1Temperature","-","int16",2,"0","-32768","32767",0,"BMS",0,0,"DEFAULT"
20373,"BQ_BMS_Ibat_mA1","BQ_BMS_Ibat_mA","-","int32",4,"0","-2147483648","2147483647",0,"BMS",0,0,"DEFAULT"
20372,"BMS_OCC2_Ibat","BMS_OCC2_Ibat","-","int32",4,"0","-2147483648","2147483647",0,"BMS",0,0,"DEFAULT"
20371,"BMS_CONFIG_CONFIRM","Configuration confirmation","-","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20370,"BMS_LOW_LEVEL_KEEP_TIME","Option to configure low duration of GPIOx","100mS","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20369,"BMS_HIGH_LEVEL_KEEP_TIME","Option to configure the high duration of GPIOx","100mS","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20368,"BMS_OUTPUT_DATA_SET","Choose to configure the high and low levels of GPIOx","-","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20367,"BMS_OUTPUT_SPEED_SET","Select to configure the load capacity mode of GPIOx","-","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20366,"BMS_PUPD_SEL","Select to configure GPIOx pull-high pull-low mode","-","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20365,"BMS_GPIO_MODE_SEL","Choose which mode of GPIOx to use","-","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20364,"BMS_PINX_SEL","Choose which Pinx of GPIOx to use","-","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20363,"BMS_GPIOX_SEL","Option to use GPIOx","-","uint8",1,"0","0","255",0,"HW_TEST",1,0,"HW_TEST"
20362,"BMS_BLACKBOX_PF_FLAG","Set Blackbox Pfrecord flag","-","uint8",1,"0","0","255",0,"BMS",1,0,"BLACK_BOX"
20361,"BMS_EP_UTD_RECY_AFE","Set the discharge low temperature protection recovery threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
20360,"BMS_EP_UTD_THRESHOLD_AFE","Set the discharge low temperature protection threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
20359,"BMS_EP_UTC_RECY_AFE","Set charging low temperature protection recovery threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
20358,"BMS_EP_UTC_THRESHOLD_AFE","Set charging low temperature protection threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
20357,"BMS_EP_OTD_RECY_AFE","Set the discharge over-temperature protection recovery threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
20356,"BMS_EP_OTD_THRESHOLD_AFE","Set the discharge over-temperature protection threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
20355,"BMS_EP_OTC_RECY_AFE","Set the charging over-temperature recovery threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
20354,"BMS_EP_OTC_THRESHOLD_AFE","Set charging over temperature protection threshold","-","int8",1,"0","-128","127",0,"HW_TEST",1,0,"HW_TEST"
